Sample	Population	Species
CanOli1	Ancient	Unknown
CaRo1	Ancient	Unknown
CaRo2	Ancient	Unknown
CaRo3	Ancient	Unknown
CaRo4	Ancient	Unknown
CaRo5	Ancient	Unknown
Emp1	Ancient	Unknown
Emp2	Ancient	Unknown
Essel1	Ancient	Unknown
FraHe1	Ancient	Unknown
LaSer3_LIB1	Ancient	Unknown
LaSer3_LIB2	Ancient	Unknown
MzH1	Ancient	Unknown
SerEs1	Ancient	Unknown
SerEs2	Ancient	Unknown
SerEs3	Ancient	Unknown
SerEs4_1	Ancient	Unknown
VillDog_Australia01	Oceania	Village
VillDog_Borneo01	Asia	Village
VillDog_Borneo02	Asia	Village
VillDog_Borneo03	Asia	Village
VillDog_China09	Asia	Village
VillDog_China01	Asia	Village
VillDog_China02	Asia	Village
VillDog_China03	Asia	Village
VillDog_China04	Asia	Village
VillDog_China05	Asia	Village
VillDog_China06	Asia	Village
VillDog_China07	Asia	Village
VillDog_China08	Asia	Village
VillDog_China20	Asia	Village
VillDog_China21	Asia	Village
VillDog_China22	Asia	Village
VillDog_China23	Asia	Village
VillDog_China24	Asia	Village
VillDog_China25	Asia	Village
VillDog_China26	Asia	Village
VillDog_China27	Asia	Village
VillDog_China28	Asia	Village
VillDog_China29	Asia	Village
VillDog_China30	Asia	Village
VillDog_China31	Asia	Village
VillDog_China32	Asia	Village
VillDog_China33	Asia	Village
VillDog_China34	Asia	Village
VillDog_China35	Asia	Village
VillDog_China36	Asia	Village
VillDog_China37	Asia	Village
VillDog_China38	Asia	Village
VillDog_China39	Asia	Village
VillDog_China40	Asia	Village
VillDog_China41	Asia	Village
VillDog_China42	Asia	Village
VillDog_China43	Asia	Village
VillDog_China44	Asia	Village
VillDog_China45	Asia	Village
VillDog_China46	Asia	Village
VillDog_China47	Asia	Village
VillDog_China48	Asia	Village
VillDog_China49	Asia	Village
VillDog_China50	Asia	Village
VillDog_China51	Asia	Village
VillDog_China52	Asia	Village
VillDog_Egypt01	Africa	Village
VillDog_Egypt02	Africa	Village
VillDog_India01	Asia	Village
VillDog_India02	Asia	Village
VillDog_India03	Asia	Village
VillDog_India04	Asia	Village
VillDog_India05	Asia	Village
VillDog_Lebanon01	Asia	Village
VillDog_Lebanon02	Asia	Village
VillDog_Lebanon03	Asia	Village
VillDog_Namibia01	Africa	Village
VillDog_Namibia02	Africa	Village
VillDog_Namibia03	Africa	Village
VillDog_PapuaNG01	Oceania	Village
VillDog_PapuaNG02	Oceania	Village
VillDog_PapuaNG03	Oceania	Village
PT49	Europe	Village
VillDog_Portugal01	Europe	Village
VillDog_Portugal02	Europe	Village
VillDog_Qatar01	Asia	Village
VillDog_Qatar02	Asia	Village
VillDog_Africa01	Africa	Village
VillDog_Taiwan01	Asia	Village
VillDog_Vietnam01	Asia	Village
VillDog_Vietnam02	Asia	Village
VillDog_Vietnam03	Asia	Village
VillDog_Vietnam04	Asia	Village
VillDog_Vietnam05	Asia	Village
VillDog_Vietnam06	Asia	Village
VillDog_China10	Asia	Village
VillDog_China11	Asia	Village
VillDog_China12	Asia	Village
VillDog_China13	Asia	Village
VillDog_China14	Asia	Village
VillDog_China15	Asia	Village
VillDog_China16	Asia	Village
CFA.118003	Africa	Indigenous
Basenji01	Africa	Indigenous
Basenji02	Africa	Indigenous
Basenji03	Africa	Indigenous
NGSD01	Oceania	Indigenous
NGSD1	Oceania	Indigenous
NGSD2	Oceania	Indigenous
NGSD3	Oceania	Indigenous
Dingo01	Oceania	Indigenous
ChInD1	Asia	Indigenous
ChInD2	Asia	Indigenous
ChInD3	Asia	Indigenous
ChInD4	Asia	Indigenous
ChInD5	Asia	Indigenous
ChInD6	Asia	Indigenous
ChInD7	Asia	Indigenous
ChInD8	Asia	Indigenous
ChInD9	Asia	Indigenous
ChInD10	Asia	Indigenous
ChInD11	Asia	Indigenous
ChInD12	Asia	Indigenous
ChInD13	Asia	Indigenous
ChInD14	Asia	Indigenous
ChInD15	Asia	Indigenous
NiInD1	Africa	Indigenous
NiInD2	Africa	Indigenous
NiInD3	Africa	Indigenous
NiInD4	Africa	Indigenous
ViInD1	Asia	Indigenous
ViInD2	Asia	Indigenous
ViInD3	Asia	Indigenous
ViInD4	Asia	Indigenous
ViInD5	Asia	Indigenous
ChowChow02	Asia	Indigenous
NGSDOG025	Asia	Indigenous
SiberianHusky01	Asia	Indigenous
AlaskanMalamute01	North_America	Indigenous
Samoyed01	Asia	Indigenous
AfghanHound01	Asia	Indigenous
AiredaleTerrier02	Europe	Breed
AlaskanHusky01	Europe	Breed
Bern_AlpDach	Europe	Breed
AHT01	Europe	Breed
ACD01	Europe	Breed
AR001	Europe	Breed
